Dataset,IForest,OCSVM,ABOD,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LMDD,LODA,LOF,MCD,PCA,SOD,SOS,DeepSVDD,AutoEncoder,SOGAAL,MOGAAL,XGBOD
02_annthyroid,0.3534993982839419,0.1308560128581689,,0.2360251352175267,0.1833332078887456,0.1929337340696805,0.2984247159961488,0.1933134447155456,0.2293279515202425,0.2263389011073656,0.0648548062292098,0.0536925322153709,0.1937492304468213,0.5149527636176263,0.2069216038916807,0.2218666323588331,0.1338132743911055,0.2121899294776753,0.3497817882326096,0.0427174918798729,0.059597402912311,0.7810044627650929
06_cardio,0.6157182148130151,0.5729078343118891,0.1430992725310761,0.4866422538150564,0.1255097704635985,0.6041458978725394,0.5928251245390739,0.1668424353882397,0.5171393956419552,0.3302870314630517,0.1574900838850481,0.4436097579702115,0.1446768664389412,0.4535852081429743,0.6523185048808671,0.215601033976919,0.143175168726662,0.3121773970180835,0.6039986421651329,0.0538291358703279,0.0544898477006011,0.7847464215017291
23_mammography,0.1893541574048556,0.1162580512257543,,0.1112131628626429,0.1174970093151646,0.4044330519217171,0.4149006654545686,0.0899603421636887,0.1770613151177732,0.1726374132520897,0.1289677595405747,0.143938942207114,0.1182966047888448,0.0218491747766314,0.2055002139396045,0.1491063871369553,,0.0974727774823096,0.0187589078758106,0.0167656018778086,0.0121907260832409,0.3960747757630806
25_musk,0.9999999999999998,0.0906686998538483,0.0175370254599288,0.9999999999999998,0.0273478526669836,0.4395501884487759,0.5829916451995415,0.0304328539168283,1.0,0.1391817360090631,0.0307107362195007,0.7659716524984764,0.0327286161403898,0.9976615140705508,0.9999999999999998,0.0799287034459654,0.0628237933937529,0.2610682508049126,0.9999999999999998,0.016500934257229,0.0165006060530954,1.0
26_optdigits,0.0767591503188504,0.0282717273071499,0.0301684180522823,0.1065774783248837,0.0247568901681149,0.0440849257057872,0.0346237819151324,0.0394341236099039,0.1339101530425353,0.022358238877764,0.0279264279859306,0.0354385578931632,0.0389225404502216,0.0213805352998174,0.0274606887612752,0.0346367480524482,0.0314887722245649,0.294337196472804,,0.063367907643436,0.0259771018428123,0.8411386577680572
30_satellite,0.6602752827441751,,0.3730537954003067,0.6216962302560509,0.4072886429845497,0.5885598146445237,0.5444245747045231,0.3618729828235566,0.6983744164580739,0.5016975768341134,0.4835742006022279,0.55441794987975,0.3657838772220756,0.764358327712555,0.6188274973049814,0.4731938463914159,0.2961562959187063,0.5201901630725119,0.7220885690564895,0.5257576135439159,0.4766433994283783,0.8626395586838281
31_satimage-2,0.9484341949130684,0.8327740454642597,0.0636281046697109,0.9606396944742812,0.1045881824182038,0.792395765289173,0.7071950983501841,0.0257445947567768,0.7949897603841112,0.2735300343168649,,0.8760378653085529,0.0241125605652967,0.6267933226881965,0.8438006604640991,0.1725666409693989,0.0368920683702906,0.0164104564591828,0.4797222945839886,0.0416408292293571,0.006347032253745,0.879892343489385
32_shuttle,0.968757532320556,0.9725785040392348,0.1631014029581298,0.9860611084834846,0.1370954443255167,0.9692366941766648,0.9046167300892308,0.0808509495090714,0.9847326464403074,0.2116901156292454,0.0867898031029741,0.7497082403765957,0.1368040508917404,0.8762600765464164,0.9442075994793916,0.264981245262007,0.1154181368591456,0.1004854746058635,0.8896215270619572,0.961884310096071,0.0701420643033383,0.9878126634014228
36_speech,0.0160134120085088,0.0165815879166142,0.0477938352773924,0.0164934489931116,0.0566123683732342,0.0178506194553907,0.0173344455986313,0.0196421388668291,0.0163173049184756,0.0173405669355408,0.0232216104141155,0.0150604680184945,0.0189124661467619,0.0198941616152241,0.0173542026983021,0.0221303309952103,0.0232053223192536,0.0410436681783893,0.0167468318961209,0.0372587614178499,0.0172472679649386,0.0957838141708886
40_vowels,0.3896753000699323,0.114108484225095,0.7416460588747106,0.223468671711013,0.4891700725570477,0.0491365666266631,0.1624693520013273,0.3223140387356204,0.1950354362946721,0.7022497170747272,0.0390147628943535,0.0986466088290151,0.3879495068187066,0.0593671812556452,0.1272858846523845,0.2011466165000958,0.1126323728395954,0.0411510304526672,0.0637136444806287,0.035314050154429,0.0372433990661039,0.6871619514117491
47_yeast,0.3332481921840668,0.322699168092792,0.3102918289985017,0.3284841727409774,0.3050521625138713,0.3269549003879191,0.365280329578339,0.3364944314322564,0.344415808190319,0.3209074051218457,0.3156185423033967,0.3677310455911647,0.3299170807988928,0.310380177409168,0.3162449036111324,0.3215819313438415,0.313357180667049,0.3263681992809565,0.3547101117481059,0.4524394651071267,0.44873721708787,0.4171380869641728
