Dataset,IForest,OCSVM,ABOD,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LMDD,LODA,LOF,MCD,PCA,SOD,SOS,DeepSVDD,AutoEncoder,SOGAAL,MOGAAL,XGBOD
02_annthyroid,0.8263874999999999,0.60606875,,0.673525,0.7048281249999999,0.795846875,0.803715625,0.8061593749999999,0.6915218750000001,0.7302906250000001,0.4333843749999999,0.3058453124999999,0.7061250000000001,0.92000625,0.692759375,0.7902171874999999,0.60814375,0.7543125,0.76345,0.1923249999999999,0.40383125,0.989428125
06_cardio,0.944193462662769,0.9396757905926124,0.498576363843438,0.8512964579932425,0.5445503207926806,0.9283626286017996,0.9428267719524696,0.6462928514483125,0.8653430014046544,0.7415436012300216,0.6257165635321362,0.8927527428723283,0.628374017691052,0.8844387077180063,0.961087278387305,0.6725257203598952,0.5790212975969021,0.6803462283132758,0.9346266276906724,0.1303291446793971,0.1435784518431342,0.959227060476064
23_mammography,0.8495029492015087,0.8547041770323409,,0.8484396316507504,0.7920035510793677,0.8987315424123266,0.9074838496107857,0.7852374408153439,0.8717548752106573,0.859614497231362,0.7744161784768477,0.8148097062836048,0.7647786092608939,0.4810784648102079,0.8939817229756841,0.8098366904742798,,0.716212081694888,0.4262072666720167,0.3139595538078805,0.1238890337854104,0.921028609260894
25_musk,1.0,0.818674932196823,0.0859356838434715,1.0,0.4003874467260752,0.9552499031383184,0.9645486245641224,0.4595118171251452,1.0,0.701123595505618,0.3512204571871368,0.959046881053855,0.4907400232468035,0.9999225106547848,1.0,0.7602092212320806,0.4683068578070515,0.7321580782642387,1.0,0.0051142967841921,0.0064316156528477,1.0
26_optdigits,0.8253654970760234,0.5272368421052631,0.5255701754385965,0.8828801169590643,0.4236111111111111,0.695248538011696,0.610014619883041,0.5652777777777778,0.8528216374269005,0.3981944444444444,0.4473830409356725,0.6234795321637427,0.5703216374269005,0.3781871345029239,0.516608187134503,0.5222368421052632,0.4924707602339181,0.9576461988304094,,0.7437134502923977,0.4634356725146198,0.9928801169590644
30_satellite,0.6994036105738234,,0.5380126965233348,0.7178792838367307,0.5569992064672916,0.6451123344740366,0.5935748648514606,0.5241990279224321,0.7681297425978277,0.6460558944601498,0.5925141348013687,0.6092434161583098,0.5241593512870109,0.8036899270941825,0.609415761543421,0.6374361454148688,0.4712344393195457,0.6827071864305907,0.7862855229876506,0.5450974557357536,0.4514457174031642,0.9259782770421068
31_satimage-2,0.996483942414175,0.9835271317829456,0.7626245847176079,0.9979235880398672,0.4513842746400885,0.9834440753045404,0.9760797342192692,0.4272425249169435,0.9859357696567,0.9098837209302326,,0.987126245847176,0.4362126245847176,0.9944905869324474,0.9861849390919158,0.754125138427464,0.5572535991140642,0.5426633444075304,0.980703211517165,0.7514119601328904,0.0014673311184939,0.9710548172757476
32_shuttle,0.996860747786811,0.9874609018185844,0.6187518215966876,0.99705776517156,0.5576064178820144,0.9965497534026204,0.9935423888602136,0.5224738219255927,0.9949247670391544,0.678577534482113,0.5494114716221695,0.9510745588683064,0.537486220994889,0.9906978486027234,0.9937638298877,0.7557562455325085,0.4867322631435833,0.434837721176438,0.993732893273566,0.9701347696606254,0.5194705279903087,0.999080042790222
36_speech,0.4842728758169934,0.4620608660130718,0.7294730392156863,0.4626736111111111,0.5531556372549019,0.5021956699346406,0.4694138071895425,0.4864685457516339,0.4763582516339869,0.4731924019607842,0.5014808006535947,0.4485294117647058,0.4863153594771242,0.4924938725490196,0.4699754901960783,0.5187908496732025,0.5699040032679737,0.6197406045751634,0.4718647875816993,0.5745506535947713,0.4902982026143791,0.5604575163398693
40_vowels,0.7807266982622432,0.5327014218009478,0.9567140600315956,0.8951026856240126,0.8497630331753554,0.5014218009478673,0.5642969984202211,0.9494470774091628,0.646129541864139,0.9717219589257504,0.4658767772511848,0.6559241706161137,0.953080568720379,0.6886255924170616,0.5660347551342813,0.843127962085308,0.6783570300157978,0.515955766192733,0.5418641390205371,0.3165876777251185,0.3459715639810426,0.930252764612954
47_yeast,0.4295560329394915,0.4483530254206945,0.4171142141066953,0.4772422126745435,0.4286385606874329,0.4063730755460079,0.4771974579305407,0.4783834586466166,0.410031775868242,0.4136680988184748,0.4353965270318654,0.4925035803795202,0.4718268886501968,0.4257518796992481,0.4440565699964195,0.4704394915861081,0.4571473326172574,0.469812925170068,0.5186627282491943,0.6049722520587183,0.6073442534908701,0.5659013605442177
